time	V(c)
3.324999999998718e-003	7.901720e-003
3.344999999998710e-003	7.394396e-003
3.364999999998702e-003	6.773714e-003
3.384999999998695e-003	6.044523e-003
3.404999999998687e-003	5.212845e-003
3.424999999998679e-003	4.286027e-003
3.444999999998671e-003	3.272892e-003
3.464999999998664e-003	2.183915e-003
3.484999999998656e-003	1.031383e-003
3.504999999998648e-003	-1.704507e-004
3.524999999998640e-003	-1.405253e-003
3.544999999998633e-003	-2.654564e-003
3.564999999998625e-003	-3.897838e-003
3.584999999998617e-003	-5.112632e-003
3.604999999998609e-003	-6.274951e-003
3.624999999998602e-003	-7.359799e-003
3.644999999998594e-003	-8.341938e-003
3.664999999998586e-003	-9.196846e-003
3.684999999998578e-003	-9.901820e-003
3.704999999998571e-003	-1.043716e-002
3.724999999998563e-003	-1.078729e-002
3.744999999998555e-003	-1.094176e-002
3.764999999998547e-003	-1.089589e-002
3.784999999998540e-003	-1.065114e-002
3.804999999998532e-003	-1.021496e-002
3.824999999998524e-003	-9.600311e-003
3.844999999998516e-003	-8.824822e-003
3.864999999998509e-003	-7.909729e-003
3.884999999998501e-003	-6.878702e-003
3.904999999998493e-003	-5.756685e-003
3.924999999998485e-003	-4.568863e-003
3.944999999998478e-003	-3.339792e-003
3.964999999998470e-003	-2.092741e-003
3.984999999998462e-003	-8.492456e-004
4.004999999998454e-003	3.711633e-004
4.024999999998447e-003	1.551066e-003
4.044999999998439e-003	2.675154e-003
4.064999999998431e-003	3.730143e-003
4.084999999998423e-003	4.704642e-003
4.104999999998416e-003	5.588993e-003
4.124999999998408e-003	6.375109e-003
4.144999999998400e-003	7.056311e-003
4.164999999998392e-003	7.627188e-003
4.184999999998385e-003	8.083476e-003
4.204999999998377e-003	8.421953e-003
4.224999999998369e-003	8.640330e-003
4.244999999998361e-003	8.737106e-003
4.264999999998353e-003	8.711409e-003
4.284999999998346e-003	8.563070e-003
4.304999999998338e-003	8.292889e-003
4.324999999998330e-003	7.902722e-003
4.344999999998322e-003	7.395396e-003
4.364999999998315e-003	6.774711e-003
4.384999999998307e-003	6.045517e-003
4.404999999998299e-003	5.213837e-003
4.424999999998291e-003	4.287014e-003
4.444999999998284e-003	3.273875e-003
4.464999999998276e-003	2.184893e-003
4.484999999998268e-003	1.032356e-003
4.504999999998260e-003	-1.694834e-004
4.524999999998253e-003	-1.404292e-003
4.544999999998245e-003	-2.653609e-003
4.564999999998237e-003	-3.896889e-003
4.584999999998229e-003	-5.111690e-003
4.604999999998222e-003	-6.274016e-003
4.624999999998214e-003	-7.358869e-003
4.644999999998206e-003	-8.341014e-003
4.664999999998198e-003	-9.195927e-003
4.684999999998191e-003	-9.900905e-003
4.704999999998183e-003	-1.043625e-002
4.724999999998175e-003	-1.078638e-002
4.744999999998167e-003	-1.094085e-002
4.764999999998160e-003	-1.089498e-002
4.784999999998152e-003	-1.065023e-002
4.804999999998144e-003	-1.021405e-002
4.824999999998136e-003	-9.599394e-003
4.844999999998129e-003	-8.823900e-003
4.864999999998121e-003	-7.908802e-003
4.884999999998113e-003	-6.877769e-003
4.904999999998105e-003	-5.755747e-003
4.924999999998098e-003	-4.567918e-003
4.944999999998090e-003	-3.338841e-003
4.964999999998082e-003	-2.091784e-003
4.984999999998074e-003	-8.482821e-004
5.004999999998067e-003	3.721325e-004
5.024999999998059e-003	1.552041e-003
5.044999999998051e-003	2.676134e-003
5.064999999998043e-003	3.731127e-003
5.084999999998036e-003	4.705630e-003
5.104999999998028e-003	5.589985e-003
5.124999999998020e-003	6.376103e-003
5.144999999998012e-003	7.057308e-003
5.164999999998005e-003	7.628188e-003
5.184999999997997e-003	8.084478e-003
5.204999999997989e-003	8.422956e-003
5.224999999997981e-003	8.641333e-003
5.244999999997974e-003	8.738110e-003
5.264999999997966e-003	8.712412e-003
5.284999999997958e-003	8.564072e-003
5.304999999997950e-003	8.293891e-003
5.324999999997943e-003	7.903722e-003
5.344999999997935e-003	7.396394e-003
5.364999999997927e-003	6.775707e-003
5.384999999997919e-003	6.046510e-003
5.404999999997912e-003	5.214826e-003
5.424999999997904e-003	4.288000e-003
5.444999999997896e-003	3.274857e-003
5.464999999997888e-003	2.185869e-003
5.484999999997881e-003	1.033327e-003
5.504999999997873e-003	-1.685179e-004
5.524999999997865e-003	-1.403332e-003
5.544999999997857e-003	-2.652655e-003
5.564999999997849e-003	-3.895942e-003
5.584999999997842e-003	-5.110749e-003
5.604999999997834e-003	-6.273081e-003
5.624999999997826e-003	-7.357941e-003
5.644999999997818e-003	-8.340091e-003
5.664999999997811e-003	-9.195009e-003
5.684999999997803e-003	-9.899992e-003
5.704999999997795e-003	-1.043534e-002
5.724999999997787e-003	-1.078547e-002
5.744999999997780e-003	-1.093994e-002
5.764999999997772e-003	-1.089408e-002
5.784999999997764e-003	-1.064932e-002
5.804999999997756e-003	-1.021314e-002
5.824999999997749e-003	-9.598479e-003
5.844999999997741e-003	-8.822980e-003
5.864999999997733e-003	-7.907878e-003
5.884999999997725e-003	-6.876838e-003
5.904999999997718e-003	-5.754810e-003
5.924999999997710e-003	-4.566975e-003
5.944999999997702e-003	-3.337891e-003
5.964999999997694e-003	-2.090828e-003
5.984999999997687e-003	-8.473204e-004
6.004999999997679e-003	3.730999e-004
6.024999999997671e-003	1.553013e-003
6.044999999997663e-003	2.677111e-003
6.064999999997656e-003	3.732109e-003
6.084999999997648e-003	4.706616e-003
6.104999999997640e-003	5.590975e-003
6.124999999997632e-003	6.377097e-003
6.144999999997625e-003	7.058304e-003
6.164999999997617e-003	7.629185e-003
6.184999999997609e-003	8.085477e-003
6.204999999997601e-003	8.423956e-003
6.224999999997594e-003	8.642334e-003
6.244999999997586e-003	8.739111e-003
6.264999999997578e-003	8.713413e-003
6.284999999997570e-003	8.565072e-003
6.304999999997563e-003	8.294891e-003
6.324999999997555e-003	7.904720e-003
6.344999999997547e-003	7.397390e-003
6.364999999997539e-003	6.776701e-003
6.384999999997532e-003	6.047500e-003
6.404999999997524e-003	5.215813e-003
6.424999999997516e-003	4.288984e-003
6.444999999997508e-003	3.275836e-003
6.464999999997501e-003	2.186844e-003
6.484999999997493e-003	1.034296e-003
6.504999999997485e-003	-1.675543e-004
6.524999999997477e-003	-1.402375e-003
