time	V(vout)
4.544999999998245e-003	1.274312e+000
4.574999999998233e-003	1.284432e+000
4.604999999998222e-003	1.293627e+000
4.634999999998210e-003	1.301570e+000
4.654999999998202e-003	1.306028e+000
4.674999999998195e-003	1.309733e+000
4.694999999998187e-003	1.312626e+000
4.714999999998179e-003	1.314662e+000
4.734999999998171e-003	1.315808e+000
4.754999999998164e-003	1.316047e+000
4.774999999998156e-003	1.315374e+000
4.794999999998148e-003	1.313800e+000
4.814999999998140e-003	1.311350e+000
4.834999999998133e-003	1.308063e+000
4.854999999998125e-003	1.303991e+000
4.874999999998117e-003	1.299197e+000
4.904999999998105e-003	1.290824e+000
4.934999999998094e-003	1.281298e+000
4.964999999998082e-003	1.270957e+000
4.976428571426649e-003	1.266826e+000
4.987857142855216e-003	1.262704e+000
4.999285714283783e-003	1.258591e+000
5.010714285712350e-003	1.254487e+000
5.022142857140917e-003	1.250393e+000
5.033571428569484e-003	1.246307e+000
5.044999999998051e-003	1.242231e+000
5.074999999998039e-003	1.232116e+000
5.104999999998028e-003	1.222928e+000
5.134999999998016e-003	1.214994e+000
5.154999999998008e-003	1.210541e+000
5.174999999998001e-003	1.206840e+000
5.194999999997993e-003	1.203950e+000
5.214999999997985e-003	1.201917e+000
5.234999999997977e-003	1.200772e+000
5.254999999997970e-003	1.200534e+000
5.274999999997962e-003	1.201206e+000
5.294999999997954e-003	1.202777e+000
5.314999999997946e-003	1.205223e+000
5.334999999997939e-003	1.208506e+000
5.354999999997931e-003	1.212573e+000
5.374999999997923e-003	1.217361e+000
5.404999999997912e-003	1.225727e+000
5.434999999997900e-003	1.235246e+000
5.464999999997888e-003	1.245583e+000
5.476428571426455e-003	1.249713e+000
5.487857142855023e-003	1.253834e+000
5.499285714283589e-003	1.257947e+000
5.510714285712156e-003	1.262051e+000
5.522142857140723e-003	1.266147e+000
5.533571428569290e-003	1.270233e+000
5.544999999997857e-003	1.274312e+000
5.574999999997846e-003	1.284432e+000
5.604999999997834e-003	1.293627e+000
5.634999999997822e-003	1.301570e+000
5.654999999997815e-003	1.306028e+000
5.674999999997807e-003	1.309733e+000
5.694999999997799e-003	1.312626e+000
5.714999999997791e-003	1.314662e+000
5.734999999997784e-003	1.315808e+000
5.754999999997776e-003	1.316047e+000
5.774999999997768e-003	1.315374e+000
5.794999999997760e-003	1.313800e+000
5.814999999997753e-003	1.311350e+000
5.834999999997745e-003	1.308063e+000
5.854999999997737e-003	1.303991e+000
5.874999999997729e-003	1.299197e+000
5.904999999997718e-003	1.290824e+000
5.934999999997706e-003	1.281298e+000
5.964999999997694e-003	1.270957e+000
5.976428571426261e-003	1.266826e+000
5.987857142854829e-003	1.262704e+000
5.999285714283396e-003	1.258591e+000
6.010714285711962e-003	1.254487e+000
6.022142857140529e-003	1.250393e+000
6.033571428569097e-003	1.246307e+000
6.044999999997663e-003	1.242231e+000
6.074999999997652e-003	1.232116e+000
6.104999999997640e-003	1.222928e+000
6.134999999997629e-003	1.214994e+000
6.154999999997621e-003	1.210541e+000
6.174999999997613e-003	1.206840e+000
6.194999999997605e-003	1.203951e+000
6.214999999997597e-003	1.201917e+000
6.234999999997590e-003	1.200772e+000
6.254999999997582e-003	1.200534e+000
6.274999999997574e-003	1.201206e+000
6.294999999997566e-003	1.202777e+000
6.314999999997559e-003	1.205223e+000
6.334999999997551e-003	1.208506e+000
6.354999999997543e-003	1.212573e+000
6.374999999997535e-003	1.217361e+000
6.404999999997524e-003	1.225727e+000
6.434999999997512e-003	1.235246e+000
6.464999999997501e-003	1.245583e+000
6.476428571426067e-003	1.249713e+000
6.487857142854635e-003	1.253834e+000
6.499285714283202e-003	1.257947e+000
6.510714285711768e-003	1.262051e+000
6.522142857140335e-003	1.266147e+000
6.533571428568903e-003	1.270234e+000
6.544999999997470e-003	1.274312e+000
6.574999999997458e-003	1.284432e+000
6.604999999997446e-003	1.293627e+000
6.634999999997435e-003	1.301570e+000
6.654999999997427e-003	1.306028e+000
6.674999999997419e-003	1.309733e+000
6.694999999997411e-003	1.312626e+000
6.714999999997404e-003	1.314662e+000
6.734999999997396e-003	1.315808e+000
6.754999999997388e-003	1.316047e+000
6.774999999997380e-003	1.315374e+000
6.794999999997373e-003	1.313800e+000
6.814999999997365e-003	1.311350e+000
6.834999999997357e-003	1.308063e+000
6.854999999997349e-003	1.303991e+000
6.874999999997342e-003	1.299197e+000
6.904999999997330e-003	1.290824e+000
6.934999999997318e-003	1.281298e+000
6.964999999997307e-003	1.270957e+000
6.976428571425873e-003	1.266826e+000
6.987857142854441e-003	1.262704e+000
6.999285714283008e-003	1.258591e+000
7.010714285711575e-003	1.254487e+000
7.022142857140141e-003	1.250393e+000
7.033571428568709e-003	1.246307e+000
7.044999999997276e-003	1.242231e+000
7.074999999997264e-003	1.232116e+000
7.104999999997252e-003	1.222928e+000
7.134999999997241e-003	1.214994e+000
7.154999999997233e-003	1.210541e+000
7.174999999997225e-003	1.206840e+000
7.194999999997218e-003	1.203951e+000
7.214999999997210e-003	1.201917e+000
7.234999999997202e-003	1.200773e+000
7.254999999997194e-003	1.200534e+000
7.274999999997187e-003	1.201206e+000
7.294999999997179e-003	1.202777e+000
7.314999999997171e-003	1.205223e+000
7.334999999997163e-003	1.208506e+000
7.354999999997156e-003	1.212573e+000
7.374999999997148e-003	1.217361e+000
7.404999999997136e-003	1.225727e+000
7.434999999997125e-003	1.235246e+000
7.464999999997113e-003	1.245583e+000
7.476428571425680e-003	1.249713e+000
7.487857142854247e-003	1.253834e+000
7.499285714282814e-003	1.257947e+000
7.510714285711381e-003	1.262051e+000
7.522142857139948e-003	1.266147e+000
7.533571428568515e-003	1.270234e+000
7.544999999997082e-003	1.274312e+000
7.574999999997070e-003	1.284432e+000
7.604999999997059e-003	1.293627e+000
7.634999999997047e-003	1.301570e+000
7.654999999997039e-003	1.306028e+000
7.674999999997031e-003	1.309733e+000
7.694999999997024e-003	1.312626e+000
7.714999999997016e-003	1.314662e+000
7.734999999997008e-003	1.315808e+000
7.754999999997000e-003	1.316047e+000
7.774999999996993e-003	1.315374e+000
7.794999999996985e-003	1.313800e+000
7.814999999996977e-003	1.311350e+000
7.834999999996969e-003	1.308063e+000
7.854999999996962e-003	1.303991e+000
7.874999999996954e-003	1.299197e+000
7.904999999996942e-003	1.290824e+000
7.934999999996931e-003	1.281298e+000
7.964999999996919e-003	1.270957e+000
7.976428571425486e-003	1.266826e+000
7.987857142854053e-003	1.262704e+000
7.999285714282619e-003	1.258591e+000
8.010714285711188e-003	1.254488e+000
8.022142857139755e-003	1.250393e+000
8.033571428568321e-003	1.246307e+000
8.044999999996888e-003	1.242231e+000
8.074999999996876e-003	1.232116e+000
8.104999999996865e-003	1.222929e+000
8.134999999996853e-003	1.214994e+000
8.154999999996845e-003	1.210541e+000
8.174999999996838e-003	1.206840e+000
8.194999999996830e-003	1.203951e+000
8.214999999996822e-003	1.201917e+000
8.234999999996814e-003	1.200773e+000
8.254999999996807e-003	1.200534e+000
8.274999999996799e-003	1.201206e+000
8.294999999996791e-003	1.202777e+000
8.314999999996783e-003	1.205223e+000
8.334999999996776e-003	1.208506e+000
8.354999999996768e-003	1.212573e+000
8.374999999996760e-003	1.217361e+000
8.404999999996748e-003	1.225727e+000
8.434999999996737e-003	1.235246e+000
8.464999999996725e-003	1.245583e+000
8.476428571425292e-003	1.249713e+000
8.487857142853859e-003	1.253834e+000
8.499285714282425e-003	1.257947e+000
8.510714285710994e-003	1.262051e+000
8.522142857139561e-003	1.266147e+000
8.533571428568127e-003	1.270234e+000
8.544999999996694e-003	1.274312e+000
8.574999999996683e-003	1.284433e+000
8.604999999996671e-003	1.293627e+000
8.634999999996659e-003	1.301570e+000
8.654999999996652e-003	1.306028e+000
8.674999999996644e-003	1.309733e+000
8.694999999996636e-003	1.312626e+000
8.714999999996628e-003	1.314662e+000
8.734999999996621e-003	1.315808e+000
8.754999999996613e-003	1.316047e+000
8.774999999996605e-003	1.315374e+000
8.794999999996597e-003	1.313800e+000
8.814999999996590e-003	1.311350e+000
8.834999999996582e-003	1.308063e+000
8.854999999996574e-003	1.303991e+000
8.874999999996566e-003	1.299198e+000
8.904999999996555e-003	1.290824e+000
8.934999999996543e-003	1.281298e+000
8.964999999996531e-003	1.270957e+000
8.976428571425098e-003	1.266826e+000
8.987857142853665e-003	1.262704e+000
8.999285714282232e-003	1.258591e+000
9.010714285710800e-003	1.254488e+000
9.022142857139367e-003	1.250393e+000
9.033571428567934e-003	1.246307e+000
9.044999999996500e-003	1.242231e+000
9.074999999996489e-003	1.232116e+000
9.104999999996477e-003	1.222929e+000
9.134999999996465e-003	1.214994e+000
