time	V(n002)
2.664999999998974e-003	3.035225e-001
2.684999999998966e-003	3.232628e-001
2.704999999998958e-003	3.379388e-001
2.724999999998951e-003	3.473432e-001
2.744999999998943e-003	3.513457e-001
2.764999999998935e-003	3.498912e-001
2.784999999998927e-003	3.430001e-001
2.804999999998920e-003	3.307678e-001
2.824999999998912e-003	3.133659e-001
2.844999999998904e-003	2.910429e-001
2.864999999998896e-003	2.641243e-001
2.884999999998889e-003	2.330116e-001
2.904999999998881e-003	1.981790e-001
2.924999999998873e-003	1.601680e-001
2.944999999998865e-003	1.195787e-001
2.964999999998857e-003	7.705986e-002
2.984999999998850e-003	3.329625e-002
3.004999999998842e-003	-1.100441e-002
3.024999999998834e-003	-5.512544e-002
3.044999999998826e-003	-9.835492e-002
3.064999999998819e-003	-1.399988e-001
3.084999999998811e-003	-1.793930e-001
3.104999999998803e-003	-2.159142e-001
3.124999999998795e-003	-2.489898e-001
3.144999999998788e-003	-2.781053e-001
3.164999999998780e-003	-3.028117e-001
3.184999999998772e-003	-3.227309e-001
3.204999999998764e-003	-3.375599e-001
3.224999999998757e-003	-3.470743e-001
3.244999999998749e-003	-3.511303e-001
3.264999999998741e-003	-3.496667e-001
3.284999999998733e-003	-3.427053e-001
3.304999999998726e-003	-3.303504e-001
3.324999999998718e-003	-3.127885e-001
3.344999999998710e-003	-2.902858e-001
3.364999999998702e-003	-2.631857e-001
3.384999999998695e-003	-2.319047e-001
3.404999999998687e-003	-1.969277e-001
3.424999999998679e-003	-1.588013e-001
3.444999999998671e-003	-1.181265e-001
3.464999999998664e-003	-7.554995e-002
3.484999999998656e-003	-3.175331e-002
3.504999999998648e-003	1.255805e-002
3.524999999998640e-003	5.666780e-002
3.544999999998633e-003	9.986213e-002
3.564999999998625e-003	1.414436e-001
3.584999999998617e-003	1.807446e-001
3.604999999998609e-003	2.171407e-001
3.624999999998602e-003	2.500614e-001
3.644999999998594e-003	2.790000e-001
3.664999999998586e-003	3.035202e-001
3.684999999998578e-003	3.232604e-001
3.704999999998571e-003	3.379364e-001
3.724999999998563e-003	3.473408e-001
3.744999999998555e-003	3.513433e-001
3.764999999998547e-003	3.498888e-001
3.784999999998540e-003	3.429977e-001
3.804999999998532e-003	3.307654e-001
3.824999999998524e-003	3.133636e-001
3.844999999998516e-003	2.910405e-001
3.864999999998509e-003	2.641219e-001
3.884999999998501e-003	2.330092e-001
3.904999999998493e-003	1.981767e-001
3.924999999998485e-003	1.601657e-001
3.944999999998478e-003	1.195764e-001
3.964999999998470e-003	7.705754e-002
3.984999999998462e-003	3.329394e-002
3.994999999998458e-003	1.116975e-002
4.000000000000004e-003	7.966318e-005
