time	V(vout)
7.384999999997144e-003	8.023156e-001
7.404999999997136e-003	8.704249e-001
7.424999999997128e-003	9.447947e-001
7.444999999997121e-003	1.024271e+000
7.464999999997113e-003	1.107606e+000
7.484999999997105e-003	1.193477e+000
7.504999999997097e-003	1.280507e+000
7.524999999997090e-003	1.367293e+000
7.544999999997082e-003	1.452425e+000
7.564999999997074e-003	1.534519e+000
7.584999999997066e-003	1.612243e+000
7.604999999997059e-003	1.684345e+000
7.624999999997051e-003	1.749674e+000
7.644999999997043e-003	1.807202e+000
7.664999999997035e-003	1.856041e+000
7.684999999997028e-003	1.895450e+000
7.704999999997020e-003	1.924843e+000
7.724999999997012e-003	1.943793e+000
7.744999999997004e-003	1.952027e+000
7.764999999996997e-003	1.949427e+000
7.784999999996989e-003	1.936031e+000
7.804999999996981e-003	1.912032e+000
7.824999999996973e-003	1.877777e+000
7.844999999996966e-003	1.833771e+000
7.864999999996958e-003	1.780675e+000
7.884999999996950e-003	1.719302e+000
7.904999999996942e-003	1.650610e+000
7.924999999996935e-003	1.575687e+000
7.944999999996927e-003	1.495738e+000
7.964999999996919e-003	1.412055e+000
7.984999999996911e-003	1.325999e+000
8.004999999996904e-003	1.238969e+000
8.024999999996896e-003	1.152374e+000
8.044999999996888e-003	1.067607e+000
8.064999999996880e-003	9.860188e-001
8.084999999996873e-003	9.088960e-001
8.104999999996865e-003	8.374401e-001
8.124999999996857e-003	7.727501e-001
8.144999999996849e-003	7.158081e-001
8.164999999996842e-003	6.674672e-001
8.184999999996834e-003	6.284420e-001
8.204999999996826e-003	5.993010e-001
8.224999999996818e-003	5.804634e-001
8.244999999996810e-003	5.722039e-001
8.264999999996803e-003	5.746603e-001
8.284999999996795e-003	5.878246e-001
8.304999999996787e-003	6.115202e-001
8.324999999996779e-003	6.453979e-001
8.344999999996772e-003	6.889507e-001
8.364999999996764e-003	7.415251e-001
8.384999999996756e-003	8.023287e-001
8.404999999996748e-003	8.704380e-001
8.424999999996741e-003	9.448079e-001
8.444999999996733e-003	1.024284e+000
8.464999999996725e-003	1.107619e+000
8.484999999996717e-003	1.193490e+000
8.504999999996710e-003	1.280521e+000
8.524999999996702e-003	1.367306e+000
8.544999999996694e-003	1.452438e+000
8.564999999996686e-003	1.534532e+000
8.584999999996679e-003	1.612257e+000
8.604999999996671e-003	1.684358e+000
8.624999999996663e-003	1.749687e+000
8.644999999996655e-003	1.807215e+000
8.664999999996648e-003	1.856054e+000
