time	V(b)
4.624999999998214e-003	6.843947e-001
4.644999999998206e-003	6.834143e-001
4.664999999998198e-003	6.825613e-001
4.684999999998191e-003	6.818583e-001
4.704999999998183e-003	6.813251e-001
4.724999999998175e-003	6.809772e-001
4.744999999998167e-003	6.808250e-001
4.764999999998160e-003	6.808732e-001
4.784999999998152e-003	6.811202e-001
4.804999999998144e-003	6.815585e-001
4.824999999998136e-003	6.821753e-001
4.844999999998129e-003	6.829527e-001
4.864999999998121e-003	6.838696e-001
4.884999999998113e-003	6.849023e-001
4.904999999998105e-003	6.860257e-001
4.924999999998098e-003	6.872147e-001
4.944999999998090e-003	6.884447e-001
4.964999999998082e-003	6.896924e-001
4.984999999998074e-003	6.909363e-001
5.004999999998067e-003	6.921568e-001
5.024999999998059e-003	6.933365e-001
5.044999999998051e-003	6.944601e-001
5.064999999998043e-003	6.955143e-001
5.084999999998036e-003	6.964877e-001
5.104999999998028e-003	6.973708e-001
5.124999999998020e-003	6.981553e-001
5.144999999998012e-003	6.988347e-001
5.164999999998005e-003	6.994036e-001
5.184999999997997e-003	6.998578e-001
5.204999999997989e-003	7.001941e-001
5.224999999997981e-003	7.004101e-001
5.244999999997974e-003	7.005045e-001
5.264999999997966e-003	7.004764e-001
5.284999999997958e-003	7.003257e-001
5.304999999997950e-003	7.000533e-001
5.324999999997943e-003	6.996609e-001
5.344999999997935e-003	6.991516e-001
5.364999999997927e-003	6.985290e-001
5.384999999997919e-003	6.977981e-001
5.404999999997912e-003	6.969650e-001
5.424999999997904e-003	6.960370e-001
5.444999999997896e-003	6.950229e-001
5.464999999997888e-003	6.939332e-001
5.484999999997881e-003	6.927804e-001
5.504999999997873e-003	6.915785e-001
5.524999999997865e-003	6.903439e-001
5.544999999997857e-003	6.890950e-001
5.564999999997849e-003	6.878526e-001
5.584999999997842e-003	6.866388e-001
5.604999999997834e-003	6.854778e-001
5.624999999997826e-003	6.843945e-001
5.644999999997818e-003	6.834140e-001
5.664999999997811e-003	6.825610e-001
5.684999999997803e-003	6.818581e-001
5.704999999997795e-003	6.813248e-001
5.724999999997787e-003	6.809769e-001
5.744999999997780e-003	6.808248e-001
5.764999999997772e-003	6.808729e-001
5.784999999997764e-003	6.811199e-001
5.804999999997756e-003	6.815583e-001
5.824999999997749e-003	6.821750e-001
5.844999999997741e-003	6.829525e-001
5.864999999997733e-003	6.838694e-001
5.884999999997725e-003	6.849021e-001
5.904999999997718e-003	6.860255e-001
5.924999999997710e-003	6.872145e-001
5.944999999997702e-003	6.884445e-001
5.964999999997694e-003	6.896923e-001
5.984999999997687e-003	6.909361e-001
6.004999999997679e-003	6.921566e-001
6.024999999997671e-003	6.933363e-001
6.044999999997663e-003	6.944599e-001
6.064999999997656e-003	6.955141e-001
6.084999999997648e-003	6.964875e-001
6.104999999997640e-003	6.973705e-001
6.124999999997632e-003	6.981552e-001
6.144999999997625e-003	6.988345e-001
6.164999999997617e-003	6.994035e-001
6.184999999997609e-003	6.998577e-001
6.204999999997601e-003	7.001939e-001
6.224999999997594e-003	7.004099e-001
6.244999999997586e-003	7.005044e-001
6.264999999997578e-003	7.004763e-001
6.284999999997570e-003	7.003256e-001
6.304999999997563e-003	7.000531e-001
6.324999999997555e-003	6.996608e-001
6.344999999997547e-003	6.991514e-001
6.364999999997539e-003	6.985288e-001
6.384999999997532e-003	6.977980e-001
6.404999999997524e-003	6.969649e-001
6.424999999997516e-003	6.960368e-001
6.444999999997508e-003	6.950228e-001
6.464999999997501e-003	6.939331e-001
6.484999999997493e-003	6.927802e-001
6.504999999997485e-003	6.915783e-001
6.524999999997477e-003	6.903437e-001
6.544999999997470e-003	6.890949e-001
6.564999999997462e-003	6.878524e-001
6.584999999997454e-003	6.866386e-001
6.604999999997446e-003	6.854776e-001
6.624999999997439e-003	6.843942e-001
6.644999999997431e-003	6.834138e-001
6.664999999997423e-003	6.825608e-001
6.684999999997415e-003	6.818578e-001
6.704999999997408e-003	6.813246e-001
6.724999999997400e-003	6.809767e-001
6.744999999997392e-003	6.808245e-001
6.764999999997384e-003	6.808727e-001
6.784999999997377e-003	6.811197e-001
6.804999999997369e-003	6.815580e-001
6.824999999997361e-003	6.821748e-001
6.844999999997353e-003	6.829523e-001
6.864999999997345e-003	6.838692e-001
6.884999999997338e-003	6.849018e-001
6.904999999997330e-003	6.860253e-001
6.924999999997322e-003	6.872143e-001
6.944999999997314e-003	6.884443e-001
6.964999999997307e-003	6.896920e-001
6.984999999997299e-003	6.909359e-001
7.004999999997291e-003	6.921564e-001
7.024999999997283e-003	6.933361e-001
7.044999999997276e-003	6.944597e-001
7.064999999997268e-003	6.955139e-001
7.084999999997260e-003	6.964874e-001
7.104999999997252e-003	6.973704e-001
7.124999999997245e-003	6.981549e-001
7.144999999997237e-003	6.988344e-001
7.164999999997229e-003	6.994033e-001
7.184999999997221e-003	6.998575e-001
7.204999999997214e-003	7.001938e-001
7.224999999997206e-003	7.004098e-001
7.244999999997198e-003	7.005042e-001
7.264999999997190e-003	7.004761e-001
7.284999999997183e-003	7.003254e-001
7.304999999997175e-003	7.000530e-001
7.324999999997167e-003	6.996606e-001
7.344999999997159e-003	6.991513e-001
7.364999999997152e-003	6.985287e-001
7.384999999997144e-003	6.977978e-001
7.404999999997136e-003	6.969647e-001
7.424999999997128e-003	6.960367e-001
7.444999999997121e-003	6.950226e-001
7.464999999997113e-003	6.939329e-001
7.484999999997105e-003	6.927800e-001
7.504999999997097e-003	6.915781e-001
7.524999999997090e-003	6.903435e-001
7.544999999997082e-003	6.890947e-001
7.564999999997074e-003	6.878521e-001
7.584999999997066e-003	6.866384e-001
7.604999999997059e-003	6.854774e-001
7.624999999997051e-003	6.843940e-001
7.644999999997043e-003	6.834136e-001
7.664999999997035e-003	6.825606e-001
7.684999999997028e-003	6.818576e-001
7.704999999997020e-003	6.813244e-001
7.724999999997012e-003	6.809765e-001
7.744999999997004e-003	6.808243e-001
7.764999999996997e-003	6.808724e-001
7.784999999996989e-003	6.811194e-001
7.804999999996981e-003	6.815578e-001
7.824999999996973e-003	6.821746e-001
7.844999999996966e-003	6.829520e-001
7.864999999996958e-003	6.838689e-001
7.884999999996950e-003	6.849016e-001
7.904999999996942e-003	6.860251e-001
7.924999999996935e-003	6.872141e-001
7.944999999996927e-003	6.884441e-001
7.964999999996919e-003	6.896918e-001
7.984999999996911e-003	6.909357e-001
8.004999999996904e-003	6.921563e-001
8.024999999996896e-003	6.933360e-001
8.044999999996888e-003	6.944596e-001
8.064999999996880e-003	6.955137e-001
8.084999999996873e-003	6.964872e-001
8.104999999996865e-003	6.973703e-001
8.124999999996857e-003	6.981548e-001
8.144999999996849e-003	6.988342e-001
8.164999999996842e-003	6.994032e-001
8.184999999996834e-003	6.998574e-001
8.204999999996826e-003	7.001936e-001
8.224999999996818e-003	7.004097e-001
8.244999999996810e-003	7.005041e-001
8.264999999996803e-003	7.004760e-001
8.284999999996795e-003	7.003253e-001
8.304999999996787e-003	7.000529e-001
8.324999999996779e-003	6.996605e-001
8.344999999996772e-003	6.991511e-001
8.364999999996764e-003	6.985285e-001
8.384999999996756e-003	6.977977e-001
8.404999999996748e-003	6.969645e-001
8.424999999996741e-003	6.960365e-001
8.444999999996733e-003	6.950224e-001
8.464999999996725e-003	6.939328e-001
8.484999999996717e-003	6.927798e-001
8.504999999996710e-003	6.915779e-001
8.524999999996702e-003	6.903433e-001
8.544999999996694e-003	6.890944e-001
8.564999999996686e-003	6.878520e-001
8.584999999996679e-003	6.866382e-001
8.604999999996671e-003	6.854771e-001
8.624999999996663e-003	6.843938e-001
8.644999999996655e-003	6.834133e-001
8.664999999996648e-003	6.825603e-001
8.684999999996640e-003	6.818573e-001
8.704999999996632e-003	6.813241e-001
8.724999999996624e-003	6.809762e-001
8.744999999996617e-003	6.808240e-001
8.764999999996609e-003	6.808721e-001
8.784999999996601e-003	6.811192e-001
8.804999999996593e-003	6.815575e-001
8.824999999996586e-003	6.821743e-001
8.844999999996578e-003	6.829518e-001
8.864999999996570e-003	6.838688e-001
8.884999999996562e-003	6.849014e-001
8.904999999996555e-003	6.860249e-001
8.924999999996547e-003	6.872139e-001
8.944999999996539e-003	6.884439e-001
8.964999999996531e-003	6.896917e-001
8.984999999996524e-003	6.909356e-001
9.004999999996516e-003	6.921561e-001
9.024999999996508e-003	6.933358e-001
9.044999999996500e-003	6.944594e-001
9.064999999996493e-003	6.955136e-001
9.084999999996485e-003	6.964871e-001
9.104999999996477e-003	6.973701e-001
9.124999999996469e-003	6.981547e-001
9.144999999996462e-003	6.988341e-001
9.164999999996454e-003	6.994030e-001
9.184999999996446e-003	6.998572e-001
9.204999999996438e-003	7.001935e-001
9.224999999996431e-003	7.004095e-001
9.244999999996423e-003	7.005039e-001
9.264999999996415e-003	7.004758e-001
9.284999999996407e-003	7.003251e-001
9.304999999996400e-003	7.000527e-001
9.324999999996392e-003	6.996603e-001
9.344999999996384e-003	6.991509e-001
9.364999999996376e-003	6.985284e-001
9.384999999996369e-003	6.977975e-001
9.404999999996361e-003	6.969644e-001
9.424999999996353e-003	6.960363e-001
9.444999999996345e-003	6.950222e-001
9.464999999996338e-003	6.939325e-001
9.484999999996330e-003	6.927797e-001
9.504999999996322e-003	6.915777e-001
9.524999999996314e-003	6.903431e-001
9.544999999996306e-003	6.890942e-001
9.564999999996299e-003	6.878517e-001
9.584999999996291e-003	6.866379e-001
9.604999999996283e-003	6.854769e-001
9.624999999996275e-003	6.843936e-001
9.644999999996268e-003	6.834131e-001
9.664999999996260e-003	6.825601e-001
9.684999999996252e-003	6.818571e-001
9.704999999996244e-003	6.813239e-001
9.724999999996237e-003	6.809760e-001
9.744999999996229e-003	6.808238e-001
9.764999999996221e-003	6.808719e-001
9.784999999996213e-003	6.811190e-001
9.804999999996206e-003	6.815573e-001
9.824999999996198e-003	6.821741e-001
9.844999999996190e-003	6.829516e-001
9.864999999996182e-003	6.838685e-001
9.884999999996175e-003	6.849012e-001
9.904999999996167e-003	6.860247e-001
9.924999999996159e-003	6.872137e-001
9.944999999996151e-003	6.884437e-001
9.964999999996144e-003	6.896914e-001
9.984999999996136e-003	6.909354e-001
1.000499999999613e-002	6.921559e-001
1.002499999999612e-002	6.933356e-001
1.004499999999611e-002	6.944592e-001
1.006499999999611e-002	6.955134e-001
1.008499999999610e-002	6.964869e-001
1.010499999999609e-002	6.973699e-001
1.012499999999608e-002	6.981544e-001
1.014499999999607e-002	6.988339e-001
1.016499999999607e-002	6.994029e-001
1.018499999999606e-002	6.998571e-001
1.020499999999605e-002	7.001933e-001
1.022499999999604e-002	7.004094e-001
1.024499999999604e-002	7.005038e-001
1.026499999999603e-002	7.004757e-001
1.028499999999602e-002	7.003250e-001
1.030499999999601e-002	7.000525e-001
1.032499999999600e-002	6.996602e-001
1.034499999999600e-002	6.991508e-001
1.036499999999599e-002	6.985282e-001
1.038499999999598e-002	6.977974e-001
1.040499999999597e-002	6.969642e-001
1.042499999999597e-002	6.960362e-001
1.044499999999596e-002	6.950220e-001
